里,兄弟姊妹間暴力,老人保護,兒少保護,親密關係,其他家虐,低收,障礙,各里總案件數,全部案件類型,女,男,小於18歲,18到65歲,大於65歲
臺北市文山區樟樹里,,0%,43%,49%,30%,71%,1%,17,,52.94%,47.06%,29%,59%,12%
臺北市內湖區瑞光里,,0%,43%,70%,0%,34%,0%,17,,76.47%,23.53%,24%,53%,24%
臺北市中正區文北里,0%,0%,73%,42%,16%,0%,0%,17,,70.59%,29.41%,0%,71%,29%
臺北市中山區聚盛里,,,0%,70%,16%,71%,63%,17,,100.00%,0.00%,6%,94%,0%
臺北市中山區新喜里,0%,50%,73%,14%,50%,0%,0%,17,,70.59%,29.41%,18%,59%,24%
臺北市中山區行孝里,0%,,73%,27%,50%,0%,0%,17,,52.94%,47.06%,18%,76%,6%
臺北市大安區龍淵里,,0%,0%,42%,50%,0%,0%,17,,70.59%,29.41%,12%,76%,12%
臺北市大安區誠安里,,,43%,64%,16%,34%,0%,17,,88.24%,11.76%,12%,71%,18%
臺北市大安區新龍里,,91%,0%,49%,7%,0%,0%,17,,70.59%,29.41%,6%,94%,0%
臺北市大安區和安里,,50%,73%,55%,0%,0%,0%,17,,64.71%,35.29%,12%,76%,12%
臺北市大安區全安里,,,0%,70%,16%,0%,0%,17,,70.59%,29.41%,18%,71%,12%
臺北市大同區朝陽里,,0%,43%,34%,50%,0%,1%,17,,64.71%,35.29%,12%,71%,18%
臺北市信義區黎忠里,0%,0%,,42%,39%,78%,1%,16,,68.75%,31.25%,25%,69%,6%
臺北市信義區中坡里,,,73%,27%,50%,54%,1%,16,,62.50%,31.25%,0%,94%,6%
臺北市松山區新益里,0%,0%,0%,20%,59%,71%,93%,16,,68.75%,25.00%,13%,81%,6%
臺北市松山區復勢里,0%,79%,43%,34%,7%,0%,0%,16,,56.25%,43.75%,19%,75%,6%
臺北市文山區忠順里,,79%,,55%,7%,0%,1%,16,,75.00%,25.00%,6%,88%,6%
臺北市內湖區港都里,,0%,,49%,39%,54%,0%,16,,62.50%,37.50%,13%,75%,13%
臺北市中正區文祥里,70%,,73%,34%,16%,34%,1%,16,,87.50%,12.50%,6%,88%,6%
臺北市中山區江山里,,0%,,20%,76%,0%,0%,16,,56.25%,43.75%,25%,75%,0%
臺北市中山區成功里,,,0%,34%,59%,0%,0%,16,,68.75%,31.25%,0%,75%,25%
臺北市中山區中央里,0%,,,49%,39%,0%,0%,16,,87.50%,12.50%,13%,56%,31%
臺北市大安區義村里,0%,,,49%,39%,0%,0%,16,,56.25%,37.50%,13%,75%,13%
臺北市大安區法治里,0%,,89%,34%,16%,71%,0%,16,,68.75%,31.25%,6%,81%,13%
臺北市大安區住安里,0%,,,64%,16%,54%,81%,16,,75.00%,25.00%,0%,56%,44%
臺北市大同區建功里,0%,0%,43%,27%,39%,54%,1%,16,,50.00%,50.00%,25%,69%,6%
臺北市士林區德華里,0%,0%,0%,34%,39%,34%,0%,16,,93.75%,6.25%,0%,100%,0%
臺北市士林區德行里,,,43%,42%,39%,78%,0%,16,,62.50%,37.50%,13%,81%,6%
臺北市士林區天壽里,,,73%,34%,39%,0%,1%,16,,75.00%,25.00%,25%,75%,0%
臺北市萬華區凌霄里,70%,0%,0%,14%,50%,71%,0%,15,,66.67%,33.33%,7%,53%,40%
臺北市信義區松隆里,,,43%,20%,59%,0%,0%,15,,66.67%,33.33%,20%,73%,7%
臺北市松山區敦化里,0%,50%,,20%,50%,0%,0%,15,,60.00%,40.00%,7%,73%,20%
臺北市松山區富錦里,,,43%,55%,7%,0%,0%,15,,60.00%,40.00%,0%,73%,27%
臺北市北投區稻香里,0%,,,34%,50%,34%,1%,15,,80.00%,20.00%,0%,80%,20%
臺北市北投區吉慶里,0%,50%,,34%,30%,0%,0%,15,,60.00%,40.00%,0%,60%,40%
臺北市文山區景仁里,70%,,43%,20%,39%,0%,0%,15,,73.33%,20.00%,13%,67%,20%
臺北市中正區新營里,0%,0%,,34%,39%,34%,63%,15,,66.67%,33.33%,7%,80%,13%
臺北市中正區頂東里,,50%,0%,27%,39%,34%,0%,15,,66.67%,33.33%,20%,80%,0%
臺北市中正區梅花里,,79%,,34%,30%,0%,0%,15,,86.67%,13.33%,13%,87%,0%
臺北市中正區幸福里,,0%,,42%,39%,0%,0%,15,,60.00%,26.67%,13%,73%,13%
臺北市中山區興亞里,,,,49%,39%,54%,1%,15,,60.00%,40.00%,20%,67%,13%
臺北市大安區德安里,,,,34%,59%,0%,0%,15,,80.00%,20.00%,13%,80%,7%
臺北市大安區建倫里,0%,,43%,42%,16%,0%,0%,15,,73.33%,26.67%,0%,100%,0%
臺北市大安區車層里,0%,0%,0%,27%,39%,0%,1%,15,,80.00%,20.00%,0%,93%,7%
臺北市大同區建泰里,0%,,0%,20%,59%,0%,0%,15,,73.33%,26.67%,13%,80%,7%
臺北市士林區福林里,,,43%,27%,50%,0%,0%,15,,60.00%,40.00%,7%,67%,27%
臺北市萬華區糖?里,,0%,0%,34%,30%,34%,0%,14,,57.14%,42.86%,14%,71%,14%
臺北市萬華區榮德里,,0%,43%,20%,39%,0%,0%,14,,64.29%,35.71%,14%,50%,36%
臺北市南港區新光里,,,0%,49%,16%,0%,0%,14,,64.29%,35.71%,7%,86%,7%
臺北市信義區黎順里,0%,,0%,14%,59%,0%,0%,14,,64.29%,35.71%,14%,79%,7%
臺北市信義區松光里,70%,79%,0%,8%,30%,0%,0%,14,,64.29%,35.71%,7%,79%,14%
臺北市松山區民有里,,79%,,42%,7%,0%,0%,14,,78.57%,21.43%,7%,71%,21%
臺北市北投區尊賢里,0%,0%,43%,14%,39%,0%,1%,14,,78.57%,21.43%,21%,71%,7%
臺北市文山區萬盛里,,79%,,14%,50%,0%,0%,14,,50.00%,50.00%,14%,71%,14%
臺北市文山區政大里,0%,0%,,42%,16%,0%,0%,14,,64.29%,35.71%,14%,57%,29%
臺北市中正區網溪里,,,0%,55%,7%,34%,0%,14,,71.43%,21.43%,43%,57%,0%
臺北市中正區文盛里,0%,,0%,20%,50%,0%,0%,14,,85.71%,7.14%,0%,93%,7%
臺北市中山區聚葉里,,,43%,14%,59%,0%,0%,14,,71.43%,28.57%,14%,79%,7%
臺北市中山區恆安里,,,,49%,30%,0%,1%,14,,50.00%,42.86%,7%,86%,7%
臺北市大安區學府里,,,89%,2%,70%,34%,0%,14,,85.71%,14.29%,0%,93%,7%
臺北市大同區景星里,,50%,,5%,76%,78%,63%,14,,92.86%,7.14%,0%,71%,29%
臺北市大同區光能里,70%,0%,43%,20%,16%,0%,0%,14,,71.43%,28.57%,29%,64%,7%
臺北市士林區臨溪里,,95%,0%,20%,7%,0%,1%,14,,50.00%,50.00%,14%,71%,14%
臺北市士林區百齡里,0%,0%,0%,27%,30%,71%,1%,14,,64.29%,35.71%,29%,57%,14%
臺北市士林區天福里,,0%,43%,42%,7%,0%,0%,14,,64.29%,35.71%,7%,79%,14%
臺北市士林區三玉里,,,94%,14%,30%,54%,0%,14,,78.57%,21.43%,14%,64%,21%
臺北市南港區重陽里,0%,,43%,34%,7%,91%,1%,13,,76.92%,23.08%,0%,85%,15%
臺北市松山區中崙里,0%,,,34%,30%,0%,0%,13,,92.31%,7.69%,8%,77%,15%
臺北市中正區廈安里,0%,,,34%,30%,34%,1%,13,,61.54%,38.46%,8%,92%,0%
臺北市中正區河堤里,,50%,0%,20%,30%,0%,0%,13,,69.23%,30.77%,0%,85%,15%
臺北市中山區朱崙里,,50%,0%,42%,0%,34%,1%,13,,76.92%,23.08%,15%,69%,15%
臺北市大安區龍陣里,,,43%,42%,7%,0%,0%,13,,53.85%,46.15%,23%,54%,23%
臺北市大安區黎孝里,,,,49%,16%,0%,0%,13,,61.54%,38.46%,15%,77%,8%
臺北市大安區福住里,0%,50%,43%,8%,30%,0%,0%,13,,30.77%,61.54%,8%,69%,23%
臺北市大安區敦煌里,,,,42%,30%,0%,0%,13,,84.62%,15.38%,0%,92%,8%
臺北市大同區揚雅里,,0%,,27%,39%,0%,0%,13,,69.23%,30.77%,0%,92%,8%
臺北市萬華區新忠里,,0%,73%,20%,7%,34%,0%,12,,75.00%,25.00%,33%,58%,8%
臺北市萬華區西門里,,0%,0%,42%,0%,0%,0%,12,,83.33%,16.67%,8%,58%,33%
臺北市萬華區仁德里,,0%,,20%,39%,0%,0%,12,,66.67%,33.33%,25%,67%,8%
臺北市松山區精忠里,0%,,,27%,30%,0%,0%,12,,50.00%,50.00%,0%,83%,17%
臺北市北投區福興里,0%,,0%,20%,30%,54%,0%,12,,75.00%,25.00%,8%,83%,8%
臺北市北投區中和里,,0%,0%,27%,16%,0%,0%,12,,58.33%,41.67%,17%,67%,17%
臺北市內湖區明湖里,0%,,0%,20%,30%,34%,0%,12,,91.67%,0.00%,8%,92%,0%
臺北市內湖區秀湖里,,0%,0%,27%,16%,0%,0%,12,,75.00%,25.00%,33%,50%,17%
臺北市中正區螢雪里,,0%,,42%,7%,34%,1%,12,,66.67%,33.33%,25%,58%,17%
臺北市中正區三愛里,70%,,,8%,50%,0%,0%,12,,58.33%,41.67%,0%,83%,17%
臺北市中山區新生里,,0%,0%,27%,16%,0%,0%,12,,75.00%,25.00%,8%,75%,17%
臺北市中山區行政里,,0%,73%,27%,0%,34%,0%,12,,83.33%,16.67%,0%,75%,25%
臺北市中山區中吉里,,,0%,14%,50%,0%,0%,12,,66.67%,33.33%,17%,58%,25%
臺北市大安區龍泉里,,50%,,14%,39%,0%,0%,12,,83.33%,16.67%,0%,75%,25%
臺北市大安區虎嘯里,,95%,0%,5%,16%,0%,0%,12,,50.00%,50.00%,0%,67%,33%
臺北市大同區重慶里,,79%,,42%,,54%,1%,12,,66.67%,33.33%,8%,42%,50%
臺北市士林區東山里,,0%,0%,14%,39%,54%,0%,12,,75.00%,25.00%,0%,92%,8%
臺北市信義區黎安里,,,43%,34%,0%,34%,0%,11,,72.73%,27.27%,9%,73%,18%
臺北市信義區西村里,0%,50%,0%,20%,0%,34%,1%,11,,63.64%,36.36%,9%,73%,18%
臺北市松山區鵬程里,70%,50%,,20%,0%,0%,0%,11,,54.55%,45.45%,18%,64%,18%
臺北市松山區福成里,0%,,,27%,16%,34%,0%,11,,90.91%,9.09%,0%,73%,27%
臺北市松山區復建里,,,43%,8%,39%,0%,0%,11,,63.64%,36.36%,0%,91%,9%
臺北市松山區東勢里,,0%,0%,8%,39%,0%,0%,11,,72.73%,27.27%,9%,82%,9%
臺北市北投區東華里,0%,0%,,14%,30%,0%,0%,11,,72.73%,27.27%,0%,82%,18%
臺北市北投區秀山里,,0%,0%,8%,39%,86%,1%,11,,72.73%,27.27%,0%,82%,18%
臺北市北投區文林里,,,,34%,16%,0%,0%,11,,63.64%,36.36%,18%,82%,0%
臺北市文山區興泰里,,50%,,20%,16%,0%,1%,11,,63.64%,36.36%,0%,82%,18%
臺北市文山區樟林里,,0%,0%,20%,16%,0%,0%,11,,63.64%,36.36%,18%,73%,9%
臺北市內湖區麗山里,0%,,,27%,16%,0%,0%,11,,63.64%,36.36%,18%,64%,18%
臺北市內湖區南湖里,,0%,0%,14%,30%,0%,0%,11,,81.82%,18.18%,18%,64%,18%
臺北市內湖區大湖里,,,,42%,7%,0%,0%,11,,63.64%,36.36%,0%,64%,36%
臺北市中正區富水里,,,43%,8%,39%,54%,63%,11,,63.64%,36.36%,18%,73%,9%
臺北市中正區光復里,,,0%,27%,16%,0%,0%,11,,45.45%,54.55%,0%,91%,9%
臺北市中山區復華里,,,,20%,39%,0%,0%,11,,90.91%,9.09%,27%,36%,36%
臺北市中山區松江里,,0%,,27%,16%,0%,0%,11,,81.82%,18.18%,9%,64%,27%
臺北市大安區龍門里,,0%,0%,14%,30%,0%,0%,11,,81.82%,18.18%,18%,55%,27%
臺北市大安區群英里,0%,79%,0%,8%,7%,34%,0%,11,,81.82%,18.18%,9%,36%,55%
臺北市大安區昌隆里,,0%,,27%,16%,0%,0%,11,,81.82%,18.18%,9%,73%,18%
臺北市士林區福德里,,,,34%,16%,0%,1%,11,,72.73%,27.27%,18%,64%,18%
臺北市士林區義信里,,0%,0%,20%,16%,34%,0%,11,,72.73%,27.27%,0%,100%,0%
臺北市士林區承德里,0%,0%,73%,8%,7%,0%,0%,11,,54.55%,45.45%,0%,82%,18%
臺北市士林區仁勇里,87%,,,20%,7%,0%,0%,11,,45.45%,54.55%,27%,64%,9%
臺北市南港區鴻福里,,,73%,14%,7%,0%,0%,10,,50.00%,40.00%,0%,100%,0%
臺北市信義區永吉里,0%,,,20%,16%,0%,0%,10,,70.00%,30.00%,0%,80%,20%
臺北市信義區中興里,,,,27%,16%,0%,0%,10,,90.00%,10.00%,10%,70%,20%
臺北市北投區建民里,,,43%,20%,7%,54%,0%,10,,90.00%,10.00%,20%,40%,40%
臺北市北投區永明里,0%,0%,0%,8%,16%,0%,0%,10,,80.00%,20.00%,0%,70%,30%
臺北市內湖區內溝里,0%,79%,,2%,30%,0%,0%,10,,70.00%,20.00%,30%,70%,0%
臺北市中正區龍光里,,,,34%,7%,34%,0%,10,,80.00%,20.00%,10%,80%,10%
臺北市中正區永昌里,,0%,,5%,50%,34%,0%,10,,80.00%,20.00%,20%,70%,10%
臺北市大安區錦泰里,,50%,0%,20%,0%,0%,0%,10,,70.00%,30.00%,10%,80%,10%
臺北市大安區正聲里,,0%,0%,14%,16%,0%,0%,10,,90.00%,10.00%,10%,80%,10%
臺北市大安區古莊里,,0%,,27%,7%,0%,0%,10,,70.00%,30.00%,0%,100%,0%
臺北市松山區美仁里,,,0%,34%,,0%,0%,9,,55.56%,44.44%,33%,67%,0%
臺北市北投區泉源里,,,,2%,59%,0%,0%,9,,66.67%,33.33%,0%,67%,33%
臺北市北投區立賢里,70%,,0%,5%,16%,0%,0%,9,,88.89%,11.11%,0%,89%,11%
臺北市文山區萬年里,70%,,,8%,16%,0%,0%,9,,77.78%,22.22%,11%,67%,22%
臺北市中正區龍福里,70%,0%,0%,8%,0%,0%,0%,9,,33.33%,66.67%,11%,56%,33%
臺北市中正區東門里,,,,14%,30%,0%,0%,9,,44.44%,55.56%,11%,78%,11%
臺北市中正區幸市里,,,,27%,7%,0%,0%,9,,88.89%,11.11%,11%,78%,11%
臺北市中山區埤頭里,0%,,73%,5%,7%,0%,0%,9,,66.67%,33.33%,11%,67%,22%
臺北市中山區力行里,0%,0%,,0%,50%,0%,0%,9,,77.78%,22.22%,0%,100%,0%
臺北市大安區龍雲里,0%,,,8%,30%,0%,0%,9,,66.67%,33.33%,22%,56%,22%
臺北市大安區龍坡里,,0%,,8%,30%,0%,0%,9,,55.56%,44.44%,0%,89%,11%
臺北市大安區古風里,,,0%,20%,7%,0%,0%,9,,55.56%,44.44%,22%,78%,0%
臺北市大安區仁慈里,,50%,0%,14%,0%,0%,1%,9,,88.89%,11.11%,11%,67%,22%
臺北市士林區永福里,,0%,0%,2%,39%,0%,1%,9,,77.78%,22.22%,0%,100%,0%
臺北市萬華區福音里,,0%,0%,14%,0%,0%,0%,8,,62.50%,37.50%,0%,75%,25%
臺北市信義區四維里,,91%,43%,2%,,0%,1%,8,,37.50%,62.50%,0%,88%,13%
臺北市信義區六藝里,,50%,0%,8%,0%,0%,0%,8,,75.00%,25.00%,13%,63%,25%
臺北市松山區松基里,0%,,43%,8%,0%,0%,0%,8,,87.50%,12.50%,0%,75%,25%
臺北市松山區中華里,,0%,,5%,30%,0%,0%,8,,62.50%,25.00%,13%,50%,38%
臺北市北投區豐年里,,0%,,20%,0%,71%,1%,8,,87.50%,12.50%,0%,75%,25%
臺北市北投區吉利里,0%,0%,,5%,16%,0%,0%,8,,75.00%,25.00%,25%,75%,0%
臺北市北投區石牌里,,,,14%,16%,34%,0%,8,,87.50%,12.50%,0%,88%,13%
臺北市北投區文化里,,,,20%,7%,0%,0%,8,,87.50%,12.50%,0%,75%,25%
臺北市文山區萬和里,,50%,,20%,,0%,0%,8,,62.50%,37.50%,13%,63%,25%
臺北市中正區愛國里,,0%,0%,8%,7%,0%,0%,8,,75.00%,25.00%,13%,75%,13%
臺北市中山區龍洲里,,,,8%,30%,0%,1%,8,,62.50%,25.00%,13%,75%,13%
臺北市中山區正守里,0%,,,14%,7%,0%,0%,8,,87.50%,12.50%,0%,75%,25%
臺北市中山區北安里,,,43%,0%,39%,0%,0%,8,,87.50%,12.50%,0%,75%,25%
臺北市大安區華聲里,,,,14%,16%,0%,0%,8,,87.50%,12.50%,0%,63%,38%
臺北市士林區翠山里,,50%,,8%,7%,0%,0%,8,,37.50%,62.50%,25%,25%,50%
臺北市士林區岩山里,,,,14%,16%,0%,0%,8,,100.00%,0.00%,0%,100%,0%
臺北市信義區興隆里,,,,8%,16%,0%,0%,7,,71.43%,28.57%,0%,86%,14%
臺北市信義區嘉興里,,0%,,8%,7%,0%,0%,7,,71.43%,28.57%,14%,86%,0%
臺北市松山區復源里,,,43%,14%,,0%,0%,7,,71.43%,28.57%,29%,57%,14%
臺北市文山區景美里,,0%,0%,5%,7%,0%,0%,7,,71.43%,28.57%,0%,57%,43%
臺北市中正區龍興里,,50%,,8%,0%,0%,0%,7,,85.71%,14.29%,0%,71%,29%
臺北市中正區建國里,,,43%,8%,0%,0%,0%,7,,57.14%,42.86%,14%,57%,29%
臺北市大安區龍安里,0%,0%,,5%,7%,0%,0%,7,,85.71%,14.29%,0%,86%,14%
臺北市士林區陽明里,0%,0%,,8%,0%,0%,0%,7,,71.43%,28.57%,0%,71%,29%
臺北市士林區公館里,,,,8%,16%,0%,0%,7,,57.14%,42.86%,0%,71%,29%
臺北市南港區萬福里,,,,2%,30%,0%,0%,6,,66.67%,33.33%,0%,100%,0%
臺北市內湖區蘆洲里,,0%,,5%,7%,0%,0%,6,,66.67%,33.33%,0%,100%,0%
臺北市中正區水源里,,,,14%,0%,0%,0%,6,,33.33%,66.67%,0%,83%,17%
臺北市萬華區騰雲里,0%,,,2%,7%,0%,0%,5,,40.00%,60.00%,20%,60%,20%
臺北市萬華區保德里,,,,2%,16%,34%,1%,5,,20.00%,80.00%,0%,100%,0%
臺北市文山區萬有里,,,0%,5%,0%,0%,0%,5,,40.00%,60.00%,20%,60%,20%
臺北市文山區老泉里,,,0%,5%,0%,54%,0%,5,,80.00%,20.00%,0%,100%,0%
臺北市內湖區西安里,,,,2%,16%,0%,0%,5,,80.00%,20.00%,0%,100%,0%
臺北市中正區黎明里,,,,5%,7%,0%,0%,5,,80.00%,20.00%,20%,80%,0%
臺北市大安區錦華里,,,0%,8%,,0%,0%,5,,80.00%,20.00%,0%,100%,0%
臺北市北投區洲美里,,,,5%,0%,0%,1%,4,,75.00%,25.00%,25%,75%,0%
臺北市大安區永康里,,,0%,5%,,0%,0%,4,,50.00%,50.00%,0%,50%,50%
臺北市士林區溪山里,,,,2%,7%,0%,1%,4,,75.00%,25.00%,25%,75%,0%
臺北市大安區錦安里,,,,5%,,0%,0%,3,,66.67%,33.33%,0%,100%,0%
臺北市松山區東昌里,,0%,,0%,,0%,0%,2,,100.00%,0.00%,0%,100%,0%
臺北市北投區湖田里,,,,,7%,0%,0%,2,,100.00%,0.00%,0%,100%,0%
臺北市北投區大屯里,,,43%,,,34%,0%,2,,0.00%,100.00%,0%,100%,0%
臺北市中正區南門里,,,,0%,0%,0%,0%,2,,0.00%,100.00%,100%,0%,0%
臺北市大安區敦安里,,,,0%,0%,0%,0%,2,,50.00%,50.00%,0%,50%,50%
臺北市大安區臥龍里,,,,,7%,0%,0%,2,,50.00%,50.00%,0%,50%,50%
臺北市士林區新安里,,,,2%,,0%,0%,2,,100.00%,0.00%,0%,100%,0%
臺北市士林區菁山里,,,,0%,0%,0%,0%,2,,50.00%,0.00%,0%,100%,0%
臺北市士林區平等里,,,,2%,,0%,0%,2,,0.00%,100.00%,0%,100%,0%
臺北市信義區新仁里,,,,0%,,0%,0%,1,,100.00%,0.00%,0%,100%,0%
臺北市中山區大佳里,0%,,,,,0%,0%,1,,100.00%,0.00%,0%,100%,0%
臺北市大安區光明里,,,,0%,,0%,0%,1,,100.00%,0.00%,0%,100%,0%
女,58.73%,61.92%,45.96%,80.59%,,,,,69.41%,,,,,
男,40.95%,36.78%,52.72%,18.83%,,,,,29.74%,,,,,
小於18歲,1.27%,0.00%,89.87%,0.17%,,,,,11%,,,,,
18到65歲,95.24%,1.11%,7.34%,89.90%,,,,,75%,,,,,
大於65歲,3.49%,98.89%,2.79%,9.93%,,,,,14%,,,,,
總案件量,315,541,681,4662,2729,,,,8928,,,,,
