,town,avg_predict,,
406,正聲里,1.21909021534022,,
407,正守里,1.26996718953244,,
408,正義里,1.12558934509935,,
409,政大里,1.22924523394849,,
410,芝山里,1.39564392131914,,
411,指南里,1.37579239178625,,
412,至聖里,1.36317413564377,,
413,智仁里,1.28372472197896,,
414,中和里,1.34497119969173,,
415,中華里,1.28169202444517,,
416,中吉里,1.26523520388442,,
417,中崙里,1.31090940237589,,
418,中南里,1.36059631812975,,
419,中坡里,1.30282135764037,,
420,中山里,1.22225985131258,,
421,中心里,1.19649725290905,,
422,中行里,1.20903093907687,,
423,中興里,1.32345922776014,,
424,中研里,1.31284969568569,,
425,中央里,1.26283550056727,,
426,中庸里,1.19626812657205,,
427,中原里,1.25385562864037,,
428,中正里,1.25159334829189,,
429,中庄里,1.14555982985269,,
430,忠誠里,1.18099258289055,,
431,忠德里,1.30222566070625,,
432,忠勤里,1.29358174002991,,
433,忠順里,1.31518960803012,,
434,忠貞里,1.36669003625704,,
435,重慶里,1.28572344330864,,
436,重陽里,1.28621151814987,,
437,洲美里,1.1983,,
438,週美里,1.24314573381599,,
439,朱馥里,1.2409471435422,,
440,朱崙里,1.42308241452007,,
441,朱園里,1.42150239265501,,
442,住安里,1.2947450094131,,
443,莊敬里,1.43352864424594,,
444,紫星里,1.23139879601393,,
445,紫陽里,1.30618244256714,,
446,紫雲里,1.23397337176191,,
447,自強里,1.26634090746233,,
448,尊賢里,1.28761134951519,,
