里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數,女,男,小於18歲,18到65歲,大於65歲
臺北市信義區松光里,2,3,1,4,4,0%,0%,14,64.29%,35.71%,7%,79%,14%
臺北市松山區民有里,,3,,2,9,0%,0%,14,78.57%,21.43%,7%,71%,21%
臺北市北投區尊賢里,1,1,2,5,5,0%,1%,14,78.57%,21.43%,21%,71%,7%
臺北市文山區萬盛里,,3,,6,5,0%,0%,14,50.00%,50.00%,14%,71%,14%
臺北市文山區政大里,1,1,,3,9,0%,0%,14,64.29%,35.71%,14%,57%,29%
臺北市中正區網溪里,,,1,2,11,34%,0%,14,71.43%,21.43%,43%,57%,0%
臺北市中正區文盛里,1,,1,6,6,0%,0%,14,85.71%,7.14%,0%,93%,7%
臺北市中山區聚葉里,,,2,7,5,0%,0%,14,71.43%,28.57%,14%,79%,7%
臺北市中山區恆安里,,,,4,10,0%,1%,14,50.00%,42.86%,7%,86%,7%
臺北市大安區學府里,,,4,8,2,34%,0%,14,85.71%,14.29%,0%,93%,7%
臺北市大同區景星里,,2,,9,3,78%,63%,14,92.86%,7.14%,0%,71%,29%
臺北市大同區光能里,2,1,2,3,6,0%,0%,14,71.43%,28.57%,29%,64%,7%
臺北市士林區臨溪里,,5,1,2,6,0%,1%,14,50.00%,50.00%,14%,71%,14%
臺北市士林區百齡里,1,1,1,4,7,71%,1%,14,64.29%,35.71%,29%,57%,14%
臺北市士林區天福里,,1,2,2,9,0%,0%,14,64.29%,35.71%,7%,79%,14%
臺北市士林區三玉里,,,5,4,5,54%,0%,14,78.57%,21.43%,14%,64%,21%
臺北市南港區重陽里,1,,2,2,8,91%,1%,13,76.92%,23.08%,0%,85%,15%
臺北市松山區中崙里,1,,,4,8,0%,0%,13,92.31%,7.69%,8%,77%,15%
臺北市中正區廈安里,1,,,4,8,34%,1%,13,61.54%,38.46%,8%,92%,0%
臺北市中正區河堤里,,2,1,4,6,0%,0%,13,69.23%,30.77%,0%,85%,15%
臺北市中山區朱崙里,,2,1,1,9,34%,1%,13,76.92%,23.08%,15%,69%,15%
臺北市大安區龍陣里,,,2,2,9,0%,0%,13,53.85%,46.15%,23%,54%,23%
臺北市大安區黎孝里,,,,3,10,0%,0%,13,61.54%,38.46%,15%,77%,8%
臺北市大安區福住里,1,2,2,4,4,0%,0%,13,30.77%,61.54%,8%,69%,23%
臺北市大安區敦煌里,,,,4,9,0%,0%,13,84.62%,15.38%,0%,92%,8%
臺北市大同區揚雅里,,1,,5,7,0%,0%,13,69.23%,30.77%,0%,92%,8%
臺北市萬華區新忠里,,1,3,2,6,34%,0%,12,75.00%,25.00%,33%,58%,8%
臺北市萬華區西門里,,1,1,1,9,0%,0%,12,83.33%,16.67%,8%,58%,33%
臺北市萬華區仁德里,,1,,5,6,0%,0%,12,66.67%,33.33%,25%,67%,8%
臺北市松山區精忠里,1,,,4,7,0%,0%,12,50.00%,50.00%,0%,83%,17%
臺北市北投區福興里,1,,1,4,6,54%,0%,12,75.00%,25.00%,8%,83%,8%
臺北市北投區中和里,,1,1,3,7,0%,0%,12,58.33%,41.67%,17%,67%,17%
臺北市內湖區明湖里,1,,1,4,6,34%,0%,12,91.67%,0.00%,8%,92%,0%
臺北市內湖區秀湖里,,1,1,3,7,0%,0%,12,75.00%,25.00%,33%,50%,17%
臺北市中正區螢雪里,,1,,2,9,34%,1%,12,66.67%,33.33%,25%,58%,17%
臺北市中正區三愛里,2,,,6,4,0%,0%,12,58.33%,41.67%,0%,83%,17%
臺北市中山區新生里,,1,1,3,7,0%,0%,12,75.00%,25.00%,8%,75%,17%
臺北市中山區行政里,,1,3,1,7,34%,0%,12,83.33%,16.67%,0%,75%,25%
臺北市中山區中吉里,,,1,6,5,0%,0%,12,66.67%,33.33%,17%,58%,25%
臺北市大安區龍泉里,,2,,5,5,0%,0%,12,83.33%,16.67%,0%,75%,25%
