里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市萬華區新起里,,,0%,16%,70%,0%,0%,17
臺北市南港區仁福里,,50%,43%,16%,49%,54%,1%,17
臺北市信義區景勤里,,50%,0%,70%,20%,78%,0%,17
臺北市信義區富台里,,0%,89%,50%,20%,0%,0%,17
臺北市信義區正和里,,79%,,16%,55%,0%,0%,17
臺北市信義區五常里,,0%,43%,16%,55%,0%,0%,17
臺北市松山區介壽里,0%,,,7%,76%,0%,0%,17
臺北市文山區樟樹里,,0%,43%,30%,49%,71%,1%,17
臺北市內湖區瑞光里,,0%,43%,0%,70%,34%,0%,17
臺北市中正區文北里,0%,0%,73%,16%,42%,0%,0%,17
臺北市中山區聚盛里,,,0%,16%,70%,71%,63%,17
臺北市中山區新喜里,0%,50%,73%,50%,14%,0%,0%,17
臺北市中山區行孝里,0%,,73%,50%,27%,0%,0%,17
臺北市大安區龍淵里,,0%,0%,50%,42%,0%,0%,17
臺北市大安區誠安里,,,43%,16%,64%,34%,0%,17
臺北市大安區新龍里,,91%,0%,7%,49%,0%,0%,17
臺北市大安區和安里,,50%,73%,0%,55%,0%,0%,17
臺北市大安區全安里,,,0%,16%,70%,0%,0%,17
臺北市大同區朝陽里,,0%,43%,50%,34%,0%,1%,17
臺北市信義區黎忠里,0%,0%,,39%,42%,78%,1%,16
臺北市信義區中坡里,,,73%,50%,27%,54%,1%,16
臺北市松山區新益里,0%,0%,0%,59%,20%,71%,93%,16
臺北市松山區復勢里,0%,79%,43%,7%,34%,0%,0%,16
臺北市文山區忠順里,,79%,,7%,55%,0%,1%,16
臺北市內湖區港都里,,0%,,39%,49%,54%,0%,16
臺北市中正區文祥里,70%,,73%,16%,34%,34%,1%,16
臺北市中山區江山里,,0%,,76%,20%,0%,0%,16
臺北市中山區成功里,,,0%,59%,34%,0%,0%,16
臺北市中山區中央里,0%,,,39%,49%,0%,0%,16
臺北市大安區義村里,0%,,,39%,49%,0%,0%,16
臺北市大安區法治里,0%,,89%,16%,34%,71%,0%,16
臺北市大安區住安里,0%,,,16%,64%,54%,81%,16
臺北市大同區建功里,0%,0%,43%,39%,27%,54%,1%,16
臺北市士林區德華里,0%,0%,0%,39%,34%,34%,0%,16
臺北市士林區德行里,,,43%,39%,42%,78%,0%,16
臺北市士林區天壽里,,,73%,39%,34%,0%,1%,16
臺北市萬華區凌霄里,70%,0%,0%,50%,14%,71%,0%,15
臺北市信義區松隆里,,,43%,59%,20%,0%,0%,15
臺北市松山區敦化里,0%,50%,,50%,20%,0%,0%,15
臺北市松山區富錦里,,,43%,7%,55%,0%,0%,15
臺北市北投區稻香里,0%,,,50%,34%,34%,1%,15
臺北市北投區吉慶里,0%,50%,,30%,34%,0%,0%,15
臺北市文山區景仁里,70%,,43%,39%,20%,0%,0%,15
臺北市中正區新營里,0%,0%,,39%,34%,34%,63%,15
臺北市中正區頂東里,,50%,0%,39%,27%,34%,0%,15
